"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Jul-2022","EQ","352.00","363.30","347.80","357.55","357.00","356.20","356.93","636.00","308.95","13,745,531","4,906,166,574.35","109,569"
"08-Jul-2022","EQ","368.00","368.00","351.10","361.65","355.70","357.55","360.65","636.00","308.95","25,506,273","9,198,911,410.85","206,765"
"07-Jul-2022","EQ","347.85","364.50","341.30","340.95","364.40","361.65","351.20","636.00","308.95","18,699,515","6,567,235,919.80","143,006"
"06-Jul-2022","EQ","339.80","342.30","327.80","345.25","341.75","340.95","334.47","636.00","308.95","22,317,536","7,464,642,906.40","186,715"
"05-Jul-2022","EQ","341.75","356.90","341.75","340.50","344.10","345.25","350.17","636.00","308.95","20,928,565","7,328,578,837.95","173,035"
"04-Jul-2022","EQ","338.00","342.00","326.65","341.15","340.20","340.50","334.16","636.00","308.95","10,905,377","3,644,156,151.15","100,692"
"01-Jul-2022","EQ","335.00","342.90","330.25","338.65","341.80","341.15","335.88","636.00","308.95","11,278,576","3,788,296,011.10","108,305"
"30-Jun-2022","EQ","345.00","349.90","337.05","344.15","337.70","338.65","341.96","636.00","308.95","21,225,418","7,258,316,775.00","250,433"
"29-Jun-2022","EQ","339.45","345.60","335.05","343.55","344.95","344.15","341.45","636.00","308.95","12,659,696","4,322,675,876.75","137,202"
"28-Jun-2022","EQ","328.45","345.25","325.30","329.95","344.65","343.55","335.87","636.00","308.95","15,742,835","5,287,493,536.15","141,655"
"27-Jun-2022","EQ","331.50","338.00","326.35","322.30","329.00","329.95","332.85","636.00","308.95","15,014,176","4,997,452,384.50","153,024"
"24-Jun-2022","EQ","321.70","324.95","316.60","317.60","322.25","322.30","321.51","636.00","308.95","11,621,311","3,736,363,635.85","113,270"
"23-Jun-2022","EQ","317.00","327.65","311.10","316.45","318.00","317.60","318.76","636.00","308.95","18,756,690","5,978,867,878.40","164,684"
"22-Jun-2022","EQ","334.00","334.00","315.45","339.25","319.25","316.45","321.01","636.00","308.95","19,176,515","6,155,837,465.15","193,044"
"21-Jun-2022","EQ","327.60","343.50","325.60","321.50","340.75","339.25","334.14","636.00","308.95","15,208,306","5,081,695,182.15","153,990"
"20-Jun-2022","EQ","331.00","334.60","308.95","333.70","323.50","321.50","317.37","636.00","308.95","20,646,347","6,552,598,414.65","248,601"
"17-Jun-2022","EQ","333.00","342.55","325.85","336.10","334.55","333.70","334.24","636.00","325.85","18,606,308","6,218,957,242.55","198,992"
"16-Jun-2022","EQ","360.40","363.75","332.30","357.50","333.40","336.10","347.32","636.00","332.30","16,614,475","5,770,461,003.55","172,799"
"15-Jun-2022","EQ","360.00","362.90","356.05","358.30","358.10","357.50","359.25","636.00","356.05","8,393,144","3,015,223,924.15","115,721"
"14-Jun-2022","EQ","363.85","369.60","357.35","366.45","358.50","358.30","363.16","636.00","357.35","11,273,145","4,093,941,235.60","122,936"
"13-Jun-2022","EQ","377.80","377.80","360.50","385.75","367.00","366.45","366.90","636.00","359.80","12,269,608","4,501,665,229.80","176,137"
"10-Jun-2022","EQ","390.00","391.80","382.75","399.75","385.75","385.75","386.66","636.00","359.80","14,541,630","5,622,722,472.30","158,464"
"09-Jun-2022","EQ","399.00","402.30","393.40","403.50","400.50","399.75","398.06","636.00","359.80","8,798,828","3,502,455,675.00","118,619"
"08-Jun-2022","EQ","402.00","407.00","401.10","404.20","402.50","403.50","404.12","636.00","359.80","6,911,005","2,792,864,999.35","89,374"
"07-Jun-2022","EQ","407.95","413.00","402.20","409.15","403.25","404.20","406.52","636.00","359.80","7,636,671","3,104,450,373.05","79,538"
"06-Jun-2022","EQ","402.60","410.70","395.95","406.75","410.20","409.15","404.96","636.00","359.80","8,810,058","3,567,751,995.20","80,127"
